applications,seats,placements_pct,ad_budget,courses,annual_fees,last_year_admissions,admissions
3000,1926,57.0,625036,5,199023,1781,1464
3000,1660,67.7,619659,12,97971,1371,1336
3000,2094,83.0,447109,5,191795,1493,1618
3000,1930,61.0,663791,5,230590,1419,1340
3000,1895,87.5,394696,7,149468,1755,1667
3000,1844,86.3,169194,9,147365,1435,1588
1886,921,78.3,486398,9,152500,761,797
1774,1266,82.8,765657,8,89398,998,994
3000,2038,82.2,650955,5,231104,1556,1714
1486,1130,77.1,496664,7,227107,810,956
1313,887,67.0,545700,6,249634,759,723
3000,2196,85.7,750005,6,177407,1901,1850
3000,1923,89.3,388407,8,206459,1409,1713
3000,1671,68.3,318604,8,110468,1482,1258
1740,930,66.7,783614,5,191818,843,768
3000,2132,76.9,701679,12,188703,1975,1884
2696,1569,73.0,312591,5,232712,1096,1248
2448,1143,79.2,413922,12,220389,847,993
2642,1605,87.7,378856,6,239232,1458,1345
1800,1185,60.0,187349,6,227046,841,910
2578,2015,90.7,769630,6,227021,1312,1680
3000,1755,74.7,371105,6,86152,1599,1331
2053,1076,82.1,710237,9,223043,805,939
3000,1984,82.9,216336,5,181309,1536,1688
1420,1259,83.9,474467,5,141578,987,1000
3000,2137,78.5,97252,6,84890,1933,1675
1000,821,80.4,630239,7,193593,617,679
1972,1052,80.3,498258,6,132435,965,973
3000,1547,73.0,530425,10,156861,1292,1282
2619,1656,63.9,117239,11,194302,1338,1311
1731,1274,68.2,231948,11,234561,953,941
3000,1882,77.2,133518,8,219451,1361,1347
2618,1310,71.7,288018,10,153854,1097,1054
2550,1499,71.7,531756,7,142862,1175,1307
3000,1775,92.4,487654,8,116961,1639,1551
1144,989,84.9,520748,11,140175,789,716
2908,1757,76.0,475461,7,94433,1412,1488
2809,1486,83.4,276581,8,244943,1152,1089
3000,1757,74.6,256045,6,175436,1558,1442
1767,1362,78.9,178683,12,97366,1059,1108
3000,2067,81.5,691331,6,136741,1511,1709
2786,1631,74.7,523865,7,170732,1482,1391
3000,1954,72.5,214288,8,168255,1620,1484
1800,1446,87.8,207591,9,81213,1196,1151
1682,820,82.9,708586,7,241397,683,648
2088,1640,60.0,614766,12,123191,1420,1310
1392,966,72.7,554767,7,77832,719,825
2976,2097,71.7,372942,12,88378,1384,1546
2444,1187,73.0,268622,10,176534,1060,1004
2576,1400,84.9,785205,5,99112,964,1064
2204,1115,78.2,654012,7,82302,966,879
1118,813,66.9,297281,9,141435,549,616
1861,1041,74.9,690247,6,183983,794,878
2725,1576,82.3,626431,8,94572,1054,1288
3000,2169,76.2,293898,5,129832,1750,1606
2860,1364,72.8,387118,8,148108,1154,1182
1889,1697,80.6,213886,6,102906,1190,1393
3000,2163,90.9,159958,7,163563,1647,1650
1031,891,81.7,600389,10,89912,828,722
3000,2190,88.4,272609,9,83141,1714,1725
2486,1755,73.4,670443,5,165971,1563,1624
1880,1308,77.9,796838,9,118382,1214,1118
2344,1575,77.8,135166,12,91690,1484,1361
1487,834,78.9,420585,11,149185,767,722
1475,1005,81.5,657485,9,235150,749,842
3000,1904,70.6,648045,9,201734,1787,1518
2820,1825,83.2,627198,9,217733,1631,1613
2140,1821,65.0,331276,6,227585,1641,1303
2678,1365,67.3,406774,9,245210,893,1076
2728,1929,95.1,508377,10,208568,1806,1698
2367,1502,73.9,781237,9,181471,1327,1260
2227,1201,83.8,315834,6,138950,1057,943
2241,1529,91.6,744664,12,106788,1031,1325
1117,961,59.5,273937,8,195165,692,685
1513,1001,87.0,792134,6,249116,940,881
3000,1795,83.2,562590,11,156788,1436,1528
1931,1069,91.1,413728,11,201644,822,833
2969,1615,68.5,521641,10,161641,1457,1291
3000,2094,89.6,276222,12,150588,1416,1677
1655,1255,72.1,277405,10,146803,973,956
3000,2075,86.4,161759,7,163309,1583,1680
3000,1816,77.7,162116,6,139207,1371,1334
1327,1095,84.2,330324,8,206035,813,1017
2135,1519,78.4,629256,7,227998,1083,1358
1596,1137,63.3,517739,7,229505,798,974
2643,1678,55.0,153861,5,114847,1413,1134
3000,1876,79.7,693610,9,231784,1737,1404
1868,1591,75.9,512985,7,134771,1277,1243
1697,1016,81.2,771816,7,129129,751,885
